postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3183,18491,125,7295,676,17,6,27/06/2022,2022-06-28
3184,15547,117,5370,752.6,20,6,27/06/2022,2022-06-28
3185,12932,81,4835,626.4,20,6,27/06/2022,2022-06-28
3186,23258,158,7431,679.3,29,6,27/06/2022,2022-06-28
3187,15997,94,5776,587.6,14,6,27/06/2022,2022-06-28
3188,18082,132,6145,730,26,6,27/06/2022,2022-06-28
3189,5894,56,2328,950.1,9,6,27/06/2022,2022-06-28
3190,10457,115,4222,1099.7,25,7,27/06/2022,2022-06-28
3191,10242,113,3595,1103.3,12,7,27/06/2022,2022-06-28
3192,22292,174,8295,780.5,29,6,27/06/2022,2022-06-28
3193,19505,124,6264,635.7,31,6,27/06/2022,2022-06-28
3194,12965,82,4435,632.5,15,6,27/06/2022,2022-06-28
3195,35867,273,12890,761.1,66,6,27/06/2022,2022-06-28
3196,25329,238,8810,939.6,43,6,27/06/2022,2022-06-28
3197,11547,85,3676,736.1,14,6,27/06/2022,2022-06-28
3198,16462,102,5477,619.6,19,6,27/06/2022,2022-06-28
3199,54299,367,17530,675.9,86,6,27/06/2022,2022-06-28
3200,5759,31,1728,538.3,5,6,27/06/2022,2022-06-28
3201,20713,161,7257,777.3,26,6,27/06/2022,2022-06-28
3202,2907,25,940,860,8,6,27/06/2022,2022-06-28
3204,30642,205,11010,669,30,6,27/06/2022,2022-06-28
3205,10919,99,4109,906.7,15,6,27/06/2022,2022-06-28
3206,10366,78,3452,752.5,14,6,27/06/2022,2022-06-28
3207,16180,124,6207,766.4,24,6,27/06/2022,2022-06-28
3211,1319,7,375,530.7,1,6,27/06/2022,2022-06-28
3212,16650,183,6044,1099.1,21,7,27/06/2022,2022-06-28
3213,4032,0,0,0,0,0,27/06/2022,2022-06-28
3214,23960,143,6846,596.8,22,6,27/06/2022,2022-06-28
3215,20615,200,6725,970.2,32,6,27/06/2022,2022-06-28
3216,56285,515,19525,915,74,6,27/06/2022,2022-06-28
3217,6607,219,8297,3314.7,30,7,27/06/2022,2022-06-28
3218,13438,156,4979,1160.9,31,7,27/06/2022,2022-06-28
3219,19719,183,5992,928,34,6,27/06/2022,2022-06-28
